200000 200000
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
10000 1 1
